time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-17T23:17:49.380Z,17.9806,-66.84,18,2.58,md,17,172,0.0396,0.12,pr,pr2020322019,2020-11-18T00:00:06.744Z,"2 km SW of Indios, Puerto Rico",earthquake,0.63,0.48,0.16,13,reviewed,pr,pr
2020-11-17T23:05:49.164Z,40.5284,34.3104,10,4.5,mb,,41,0.69,1.06,us,us6000cpnj,2020-11-17T23:31:55.040Z,"Central Turkey",earthquake,3.9,1.8,0.128,18,reviewed,us,us
2020-11-17T23:04:42.428Z,-9.5432,119.0128,61.57,4.4,mb,,81,3.31,0.9,us,us6000cpni,2020-11-17T23:23:13.040Z,"117 km SSW of Komodo, Indonesia",earthquake,5.6,10.4,0.169,10,reviewed,us,us
2020-11-17T22:41:11.095Z,27.5802,59.3818,62.61,4.3,mb,,145,3.876,0.76,us,us6000cpn1,2020-11-17T23:06:20.040Z,"114 km NNW of Fannūj, Iran",earthquake,9.3,7.1,0.106,25,reviewed,us,us
2020-11-17T22:22:07.638Z,-14.9364,167.773,10,5.1,mb,,124,0.748,0.88,us,us6000cpmt,2020-11-17T22:40:50.040Z,"76 km E of Port-Olry, Vanuatu",earthquake,8,1.9,0.061,87,reviewed,us,us
2020-11-17T22:09:36.269Z,28.7753,128.7282,136.99,4.5,mb,,98,1.973,0.86,us,us6000cpmq,2020-11-17T22:31:53.040Z,"86 km WNW of Naze, Japan",earthquake,8.7,7.2,0.06,83,reviewed,us,us
2020-11-17T20:50:55.156Z,63.5669,-126.2959,8.08,4.4,mb,,51,1.321,0.61,us,us7000cga3,2020-11-17T22:11:07.040Z,"192 km S of Norman Wells, Canada",earthquake,5.9,5.9,0.19,9,reviewed,us,us
2020-11-17T18:32:20.946Z,-24.4326,-116.1194,10,4.9,mb,,46,6.608,0.64,us,us7000cg8f,2020-11-17T19:17:04.040Z,"southern East Pacific Rise",earthquake,12.2,1.8,0.057,97,reviewed,us,us
2020-11-17T17:32:32.690Z,34.8618333,-116.3401667,5.26,3.51,mw,33,68,0.03263,0.15,ci,ci39468407,2020-11-18T03:41:17.469Z,"23km NW of Ludlow, CA",earthquake,0.15,0.43,,6,reviewed,ci,ci
2020-11-17T16:26:39.570Z,31.7268333,-116.0533333,10.64,2.6,ml,16,141,0.2913,0.18,ci,ci39468327,2020-11-17T22:12:47.853Z,"49km E of Maneadero, B.C., MX",earthquake,0.35,1.19,0.139,59,reviewed,ci,ci
